actual,predicted
4.222888888888889,2.646034901919204
3.6322,2.942836630718503
3.400233333333333,3.0394943988379293
3.2685666666666666,3.0867090453275146
3.0564666666666667,2.4713389048337477
2.200133333333333,1.871025242195639
2.0616,1.887751836035039
1.8824666666666665,1.5695309415903287
3.3494,1.3534571465252956
1.5872666666666668,1.043228964480326
1.6622,0.7742229397536549
2.2157666666666667,0.7594427560709254
1.9967333333333332,0.7594427560709254
1.3033,0.903323556767358
1.6200333333333332,1.4269724391657852
1.8905666666666667,1.590234680955209
2.5490666666666666,1.935753702908383
3.6289,2.0349098602941322
2.471,2.059135351236387
1.9158666666666664,2.059135351236387
1.6607666666666667,2.059135351236387
2.092633333333333,2.2198800942633814
2.9854,2.2194233221203543
3.3260333333333336,2.2194233221203543
3.406766666666667,2.537485447106661
3.6971,2.8449842422809395
2.9084,2.98778252221487
3.3615,3.0349971687044555
3.040766666666667,2.4158241552898905
1.518,1.551021289410921
0.4377333333333333,0.9775914239190667
0.2763666666666667,0.5849060261051465
0.3132999999999999,0.49353038282657624
0.2844666666666667,0.47256124999653437
0.3099333333333333,0.47256124999653437
1.026333333333333,0.5290090468241155
0.2935,0.5290090468241155
0.61,1.0027103645733377
2.4504333333333337,2.3052022322270296
2.082133333333333,2.0756675910765505
1.6293333333333335,1.6567616355712824
1.3096333333333334,1.4835436344123716
1.5619333333333332,1.3845415642679635
1.7560666666666669,1.3845415642679635
1.6820666666666668,1.3380696698545858
1.7330333333333334,1.2167989054085728
1.7842999999999998,1.1466795667422218
1.9493,1.1466795667422218
2.1549,1.2542331179649562
2.402533333333333,2.007990199801082
2.6145,2.3214114686395977
3.050566666666666,2.607155202520906
2.1697333333333333,2.5275808262423163
1.7388,1.6641323256394074
1.5472666666666666,1.0377561170131706
0.8371333333333334,0.6106151284870809
0.3530333333333333,0.5192394852085106
0.3272333333333333,0.4982703523784685
0.3083,0.4982703523784685
0.3278333333333333,0.4982703523784685
0.3066666666666666,0.4982703523784685
0.7963333333333333,0.9816062249708293
1.7856333333333334,2.0123785634363034
3.879033333333333,2.0671395894276334
1.6177666666666668,1.6756935049598587
0.4371333333333334,1.5498509116387298
2.321633333333333,1.549757251741443
0.4306666666666666,1.549757251741443
